"","","Accuracy","Play Count","Performance","SS","S","A"
"#1","WhiteCat","98.19%","12,840","19,316","10","195","360"
"#2","Vaxei","98.68%","144,092","17,428","60","940","1,036"
"#3","Alumetri","98.44%","92,530","16,739","30","613","532"
"#4","Mathi","98.71%","159,506","16,540","35","1,012","1,054"
"#5","Freddie Benson","98.04%","72,559","16,538","16","531","959"
"#6","FlyingTuna","97.94%","101,625","16,377","47","880","811"
"#7","Micca","98.68%","115,013","16,331","78","836","658"
"#8","idke","99.23%","64,445","16,327","25","750","644"
"#9","Karthy","99.14%","153,868","16,062","909","3,964","2,588"
"#10","RyuK","98.50%","191,512","16,002","127","2,208","1,421"
"#11","FGSky","95.47%","242,657","15,883","49","674","849"
"#12","obtio","97.74%","183,228","15,751","62","1,174","1,318"
"#13","ASecretBox","98.56%","183,769","15,709","46","722","1,174"
"#14","Varvalian","99.35%","217,240","15,664","659","2,748","1,585"
"#15","badeu","98.01%","91,622","15,641","161","1,631","1,296"
"#16","a_Blue","95.04%","126,241","15,629","9","462","471"
"#17","azr8","99.06%","88,958","15,362","38","631","1,659"
"#18","Rafis","98.66%","282,881","15,311","211","2,210","1,545"
"#19","Dereban","98.63%","152,928","15,290","93","1,035","1,341"
"#20","fieryrage","97.75%","110,277","15,149","114","1,481","1,107"
"#21","firebat92","98.83%","143,061","15,136","178","1,547","979"
"#22","Vamhi","96.06%","131,225","15,123","8","394","578"
"#23","Spare","98.97%","160,184","15,108","838","2,883","2,219"
"#24","mReKk","97.34%","51,596","14,977","38","536","503"
"#25","chocomint","98.93%","29,563","14,938","125","790","590"
"#26","Umbre","99.34%","217,779","14,916","283","1,392","2,038"
"#27","DanyL","98.64%","118,713","14,904","119","1,367","557"
"#28","Dustice","99.08%","105,346","14,891","131","2,801","1,816"
"#29","Weabole","97.46%","109,659","14,868","47","275","258"
"#30","Bartek22830","98.58%","166,849","14,847","186","2,017","2,006"
"#31","uyghti","99.08%","205,587","14,823","137","1,320","1,490"
"#32","jpeg","96.95%","136,025","14,788","21","391","886"
"#33","Gasha","98.56%","169,969","14,780","484","2,587","1,694"
"#34","MouseEasy","98.22%","139,995","14,779","286","1,724","1,664"
"#35","okinamo","99.00%","90,434","14,625","63","961","1,686"
"#36","Maxim Bogdan","97.11%","144,781","14,608","109","846","796"
"#37","Andros","97.88%","60,904","14,604","24","661","536"
"#38","Aricin","98.62%","135,348","14,590","71","1,283","1,469"
"#39","Parkes","94.38%","54,481","14,464","7","301","519"
"#40","filsdelama","99.18%","153,337","14,441","288","1,859","817"
"#41","Ralidea","99.29%","106,392","14,434","155","426","211"
"#42","-Hebel-","98.25%","148,616","14,371","169","1,704","958"
"#43","Vinno","98.27%","83,943","14,355","43","885","928"
"#44","Abyssal","98.98%","126,226","14,317","55","788","1,224"
"#45","Ponytail","97.31%","94,548","14,277","96","1,674","1,537"
"#46","-DuckLeader-","99.19%","121,698","14,276","115","876","187"
"#47","Aireu","98.59%","199,389","14,207","481","2,195","931"
"#48","InBefore","97.50%","114,304","14,188","7","382","810"
"#49","shinji","98.28%","94,863","14,187","134","1,104","1,238"
"#50","morgn","98.41%","17,300","14,153","24","227","1,010"
"#51","Lifeline","97.47%","79,711","14,149","30","474","669"
"#52","BeasttrollMC","98.76%","101,344","14,113","97","1,856","1,412"
"#53","MightyDoc","98.54%","133,062","14,071","65","1,616","1,652"
"#54","im a fancy lad","97.81%","75,224","14,068","112","1,189","1,099"
"#55","Merami","97.88%","121,342","14,059","140","604","880"
"#56","Demonical","97.98%","168,003","14,043","42","924","1,202"
"#57","-PloX","98.58%","197,971","13,965","247","955","1,694"
"#58","Paraqeet","96.46%","115,578","13,938","41","383","918"
"#59","MoeYandere","97.99%","184,134","13,841","47","2,287","1,544"
"#60","X i a","94.01%","117,439","13,823","14","908","951"
"#61","Skydiver","98.42%","132,783","13,813","59","1,044","1,242"
"#62","mcy4","97.88%","194,910","13,780","25","1,029","1,595"
"#63","doki","95.61%","135,661","13,748","17","749","1,129"
"#64","Shiroha","98.41%","173,416","13,734","187","2,107","2,405"
"#65","Arnold24x24","97.97%","149,916","13,707","489","1,462","963"
"#66","thaibuy","98.63%","89,858","13,669","163","2,457","1,863"
