"rank","username","acc","playcount","performance","SS","S","A"
1,"WhiteCat",98.19,12840,19316,10,195,360
2,"Vaxei",98.68,144092,17428,60,940,1036
3,"Alumetri",98.44,92530,16739,30,613,532
4,"Mathi",98.71,159506,16540,35,1012,1054
5,"Freddie Benson",98.04,72559,16538,16,531,959
6,"FlyingTuna",97.94,101625,16377,47,880,811
7,"Micca",98.68,115013,16331,78,836,658
8,"idke",99.23,64445,16327,25,750,644
9,"Karthy",99.14,153868,16062,909,3964,2588
10,"RyuK",98.5,191512,16002,127,2208,1421
11,"FGSky",95.47,242657,15883,49,674,849
12,"obtio",97.74,183228,15751,62,1174,1318
13,"ASecretBox",98.56,183769,15709,46,722,1174
14,"Varvalian",99.35,217240,15664,659,2748,1585
15,"badeu",98.01,91622,15641,161,1631,1296
16,"a_Blue",95.04,126241,15629,9,462,471
17,"azr8",99.06,88958,15362,38,631,1659
18,"Rafis",98.66,282881,15311,211,2210,1545
19,"Dereban",98.63,152928,15290,93,1035,1341
20,"fieryrage",97.75,110277,15149,114,1481,1107
21,"firebat92",98.83,143061,15136,178,1547,979
22,"Vamhi",96.06,131225,15123,8,394,578
23,"Spare",98.97,160184,15108,838,2883,2219
24,"mReKk",97.34,51596,14977,38,536,503
25,"chocomint",98.93,29563,14938,125,790,590
26,"Umbre",99.34,217779,14916,283,1392,2038
27,"DanyL",98.64,118713,14904,119,1367,557
28,"Dustice",99.08,105346,14891,131,2801,1816
29,"Weabole",97.46,109659,14868,47,275,258
30,"Bartek22830",98.58,166849,14847,186,2017,2006
31,"uyghti",99.08,205587,14823,137,1320,1490
32,"jpeg",96.95,136025,14788,21,391,886
33,"Gasha",98.56,169969,14780,484,2587,1694
34,"MouseEasy",98.22,139995,14779,286,1724,1664
35,"okinamo",99,90434,14625,63,961,1686
36,"Maxim Bogdan",97.11,144781,14608,109,846,796
37,"Andros",97.88,60904,14604,24,661,536
38,"Aricin",98.62,135348,14590,71,1283,1469
39,"Parkes",94.38,54481,14464,7,301,519
40,"filsdelama",99.18,153337,14441,288,1859,817
41,"Ralidea",99.29,106392,14434,155,426,211
42,"-Hebel-",98.25,148616,14371,169,1704,958
43,"Vinno",98.27,83943,14355,43,885,928
44,"Abyssal",98.98,126226,14317,55,788,1224
45,"Ponytail",97.31,94548,14277,96,1674,1537
46,"-DuckLeader-",99.19,121698,14276,115,876,187
47,"Aireu",98.59,199389,14207,481,2195,931
48,"InBefore",97.5,114304,14188,7,382,810
49,"shinji",98.28,94863,14187,134,1104,1238
50,"morgn",98.41,17300,14153,24,227,1010
51,"Lifeline",97.47,79711,14149,30,474,669
52,"BeasttrollMC",98.76,101344,14113,97,1856,1412
53,"MightyDoc",98.54,133062,14071,65,1616,1652
54,"im a fancy lad",97.81,75224,14068,112,1189,1099
55,"Merami",97.88,121342,14059,140,604,880
56,"Demonical",97.98,168003,14043,42,924,1202
57,"-PloX",98.58,197971,13965,247,955,1694
58,"Paraqeet",96.46,115578,13938,41,383,918
59,"MoeYandere",97.99,184134,13841,47,2287,1544
60,"X i a",94.01,117439,13823,14,908,951
61,"Skydiver",98.42,132783,13813,59,1044,1242
62,"mcy4",97.88,194910,13780,25,1029,1595
63,"doki",95.61,135661,13748,17,749,1129
64,"Shiroha",98.41,173416,13734,187,2107,2405
65,"Arnold24x24",97.97,149916,13707,489,1462,963
66,"thaibuy",98.63,89858,13669,163,2457,1863
67,"CXu",97.9,135191,13615,890,3758,327
68,"Jordan The Bear",98.57,95785,13597,35,1103,1259
69,"Alusim",96.58,83901,13596,42,960,648
70,"-Machine-",97.82,118408,13574,201,1807,2888
71,"Monko2k",98.26,91282,13568,124,2245,2544
72,"jot_bab",98.49,102476,13460,20,375,324
73,"Reyuza",98.03,94201,13432,81,1203,1568
74,"-Hideki-",98.51,167663,13419,75,786,891
75,"rairiku",97.87,84682,13397,41,1439,1365
76,"kazamabc",98.36,164612,13393,89,1318,1208
77,"Afrodafro",98.89,152396,13376,69,815,1237
78,"SrChispa",97.12,51406,13371,30,720,524
79,"Vento",98.39,123424,13351,113,796,539
80,"Bubbleman",98.54,110016,13351,136,1234,1921
81,"Sincuvate",99.17,144612,13345,2566,7399,1456
