"","user_id","username","join_date","count300","count100","count50","playcount","ranked_score","total_score","pp_rank","level","pp_raw","accuracy","count_rank_ss","count_rank_ssh","count_rank_s","count_rank_sh","count_rank_a","country","total_seconds_played","pp_country_rank"
"2",4504101,"WhiteCat",2153,3929223,146573,16719,12840,11056027370,60771934230,1,100.338,19315.8,98.1914901733398,4,6,33,162,360,"DE",768669,1
"3",4787150,"Vaxei",2089,27237888,1703582,171664,144092,43232883801,338205665002,2,103.113,17427.7,98.6820068359375,40,20,573,367,1036,"US",6600327,1
"4",5371497,"Alumetri",1963,14570111,1171211,145281,92530,17581963652,152377672876,3,101.254,16738.8,98.4423522949219,0,30,75,538,532,"RU",3973817,1
"5",5339515,"Mathi",1970,38392519,1678246,153238,159506,55340508877,541837822444,4,105.149,16540.2,98.7095184326172,12,23,389,623,1054,"CL",8524466,1
"6",7342622,"Freddie Benson",1645,17127067,1447704,128551,72559,24931163139,182837287685,5,101.559,16538.1,98.0367584228516,9,7,249,282,959,"US",4001016,2
"7",9224078,"FlyingTuna",1275,23352066,1664780,115637,101625,30886557809,252978849708,6,102.26,16377.2,97.9426422119141,19,28,309,571,811,"KR",5559517,1
"8",8179335,"Micca",1492,17489445,931521,99196,115013,19439251281,157667825115,7,101.307,16330.8,98.6817169189453,17,61,294,542,658,"AT",4816514,1
"9",4650315,"idke",2120,31739234,1812026,133874,64445,61498505476,783148792644,8,107.562,16326.6,99.2330474853516,23,2,696,54,644,"US",5514389,3
"10",4196808,"Karthy",2226,49557231,2761677,315911,153868,116536944339,725608525699,9,106.987,16061.9,99.1435775756836,83,826,843,3121,2588,"GB",10979681,1
"11",6304246,"RyuK",1848,34913062,2041669,183319,191512,66531514238,476644198176,10,104.497,16002.1,98.4960784912109,8,119,206,2002,1421,"CA",8472045,1
"12",2094566,"FGSky",2724,37838485,3794618,531745,242657,19008835103,270102203558,11,102.432,15883.3,95.4720840454102,17,32,158,516,849,"MA",10010809,1
"13",4007897,"obtio",2269,27015833,2028369,151736,183228,18717892617,207956224727,12,101.81,15751.4,97.7369232177734,35,27,785,389,1318,"HK",7193969,1
"14",7341183,"ASecretBox",1645,30716651,2295548,228956,183769,32291430134,294019545118,12,102.671,15709.4,98.5624465942383,25,21,260,462,1174,"AU",8070721,1
"15",3345902,"Varvalian",2409,51720779,2460859,255852,217240,114662520974,857278081543,14,108.303,15663.7,99.3495712280273,427,232,1823,925,1585,"JP",11915029,1
"16",1473890,"badeu",2965,23956617,2851195,487961,91622,58239079073,259245016410,15,102.323,15640.9,98.0051193237305,124,37,1164,467,1296,"RO",6209124,1
"17",5645667,"a_Blue",1932,18203988,2600929,198985,126241,15526862054,150604638899,15,101.237,15629.1,95.0370941162109,4,5,240,222,471,"JP",5170150,2
"18",2562987,"azr8",2567,19044216,1313284,208913,88958,25315834936,158948001294,17,101.32,15362.4,99.057731628418,17,21,235,396,1659,"LT",4308230,1
"19",2558286,"Rafis",2569,49913679,2499381,228718,282909,61987467409,606139956641,18,105.792,15311.2,98.6565017700195,18,193,462,1748,1545,"PL",11794365,1
"20",4882979,"Dereban",2067,27713313,2826970,299953,152928,29633210918,231463560284,19,102.045,15289.7,98.6283645629883,57,36,528,507,1341,"AU",7128316,2
"21",3533958,"fieryrage",2372,27430418,1755171,144610,110277,55772492656,419630277680,20,103.927,15149.3,97.7504348754883,61,53,1049,432,1107,"US",6418732,4
"22",1777162,"firebat92",2840,34820667,1441206,131662,143061,48289483309,442302793843,21,104.154,15136.4,98.8334045410156,74,104,781,766,979,"KR",6558718,2
"23",6123428,"Vamhi",1882,17705093,2136268,204171,131238,10263747479,112319653882,22,100.854,15122.5,96.058219909668,5,3,191,203,578,"PL",4871196,2
"24",2204373,"Spare",2688,35167782,1490016,181194,160184,97836744796,515775308728,23,104.888,15107.5,98.972526550293,201,637,726,2157,2219,"GB",8770637,2
"25",7562902,"mReKk",1602,8596697,1414036,193483,51596,15646069120,71157804532,24,100.442,14976.9,97.3421936035156,21,17,67,469,503,"AU",2472170,3
